ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
154,Arkansas,8/4/2020,45381,490,38000,6891,1503.775593,533899,3054,1.079747031,17691.63935,6.729688636
155,California,8/4/2020,526685,9684,,517001,1332.967269,8305713,,1.838670173,21020.61684,
156,Colorado,8/4/2020,48376,1849,5424,41103,840.0454544,552003,6487,3.822143212,9585.488899,13.40954192
157,Connecticut,8/4/2020,50110,4437,8613,37060,1405.496949,836271,10807,8.854520056,23455.92374,21.56655358
158,Delaware,8/4/2020,15137,587,8303,6247,1554.483427,189308,,3.877915043,19440.85014,
159,Florida,8/4/2020,497330,7402,,489928,2315.560527,3784458,28333,1.488347777,17620.37593,5.697022098
160,Georgia,8/4/2020,197948,3921,,194027,1864.369537,1664412,19426,1.980823247,15676.2333,9.813688443
161,Hawaii,8/4/2020,2591,27,1315,1249,182.9967681,130712,201,1.042068699,9231.907969,7.75762254
162,Idaho,8/4/2020,22236,210,7617,14409,1244.274831,187778,886,0.944414463,10507.62004,3.984529592
163,Illinois,8/4/2020,185993,7742,,178251,1467.768524,2850676,,4.162522245,22496.18267,
164,Indiana,8/4/2020,69255,2996,43535,22724,1028.70985,785018,9148,4.326041441,11660.61294,13.20915457
165,Iowa,8/4/2020,46231,888,34023,11320,1465.292371,490371,,1.920789081,15542.3176,
166,Kansas,8/4/2020,28782,368,1196,27218,987.9470596,301839,1782,1.278576888,10360.67516,6.191369606
167,Kentucky,8/4/2020,32197,751,8406,23040,720.6659932,607855,3851,2.332515452,13605.6287,11.96074168
168,Louisiana,8/4/2020,124461,4051,74246,46164,2677.275009,1449857,,3.254834848,31187.80914,
169,Maine,8/4/2020,3977,123,3424,430,295.8610695,175761,388,3.092783505,13075.39287,9.756097561
170,Maryland,8/4/2020,91854,3530,5740,82584,1519.332813,972346,12888,3.843055283,16083.319,14.03096218
171,Massachusetts,8/4/2020,119203,8657,97595,12951,1729.458805,1242276,11973,7.262401114,18023.58301,10.0442103
172,Michigan,8/4/2020,93175,6471,60022,26682,932.9762106,1954415,,6.944995975,19569.87068,
173,Minnesota,8/4/2020,57162,1660,50426,5076,1013.576772,878111,5346,2.904027151,15570.35991,9.352366957
174,Mississippi,8/4/2020,62199,1753,42391,18055,2089.915525,463791,4424,2.818373286,15583.59477,7.112654544
175,Missouri,8/4/2020,54422,1290,,53132,886.7232333,721523,,2.370364926,11756.11347,
176,Montana,8/4/2020,4314,64,2766,1484,403.6385479,181236,238,1.483541956,16957.31012,5.51692165
177,Nebraska,8/4/2020,27178,332,19677,7169,1404.977647,283859,1644,1.221576275,14674.20523,6.049010229
178,Nevada,8/4/2020,52179,862,1209,50108,1694.037575,489087,,1.652005596,15878.64381,
179,New Hampshire,8/4/2020,6693,418,5848,427,492.2369533,164836,697,6.245330943,12122.87023,10.41386523
180,New Jersey,8/4/2020,182970,15857,32697,134416,2059.964941,2164936,21565,8.666448052,24373.89878,11.78608515
181,New Mexico,8/4/2020,21340,658,8463,12219,1017.727244,577810,2730,3.083411434,27556.37203,12.79287723
182,New York,8/4/2020,417589,32725,73326,311538,2146.594138,6153767,89995,7.836652785,31633.11334,21.5510945
183,North Carolina,8/4/2020,128715,2061,105093,21561,1227.249896,1854026,,1.60121198,17677.45186,
184,North Dakota,8/4/2020,6933,107,5715,1111,909.7684965,160470,389,1.54334343,21057.34179,5.610846675
185,Ohio,8/4/2020,95106,3570,71338,20198,813.6297919,1555812,11119,3.753706391,13309.93832,11.69116565
186,Oklahoma,8/4/2020,39463,566,32319,6578,997.3032403,657276,3375,1.434254872,16610.58421,8.552314827
187,Oregon,8/4/2020,19699,333,3960,15406,467.051407,419914,1688,1.690441139,9955.907635,8.568962892
188,Pennsylvania,8/4/2020,119724,7248,86256,26220,935.1984289,1271529,,6.053924025,9932.27693,
189,Rhode Island,8/4/2020,19390,1011,1848,16531,1830.348672,211953,2242,5.214027849,20007.62724,11.56266117
190,South Carolina,8/4/2020,94190,1847,32859,59484,1829.388853,740457,5799,1.960930035,14381.39699,6.156704533
191,South Dakota,8/4/2020,9079,136,8008,935,1026.27114,115381,846,1.497962331,13042.42652,9.318206851
192,Tennessee,8/4/2020,112441,1117,73259,38065,1646.480233,1592650,4900,0.993409877,23321.26843,4.357841001
193,Texas,8/4/2020,466032,7271,306262,152499,1607.235179,3884848,,1.560193291,13397.93055,
194,Utah,8/4/2020,41907,321,30449,11137,1307.159982,544956,2482,0.765981817,16998.22643,5.922638223
195,Vermont,8/4/2020,1431,57,1249,125,229.3309658,98801,,3.983228512,15833.77271,
196,Virginia,8/4/2020,94251,2244,12385,79622,1104.221079,1168038,13640,2.380876595,13684.44028,14.47199499
197,Washington,8/4/2020,59379,1619,,57760,779.7745812,1008822,5744,2.726553159,13248.01281,9.673453578
198,West Virginia,8/4/2020,7059,124,5063,1872,393.8850998,298439,,1.756622751,16652.59602,
199,Wisconsin,8/4/2020,56056,961,45368,9727,962.7588737,989016,4783,1.714357071,16986.29817,8.53253889
200,Wyoming,8/4/2020,2884,27,2284,573,498.3075857,55243,169,0.936199723,9545.078349,5.859916782
201,Alabama,8/5/2020,94654,1695,37923,55036,1930.459487,727460,11100,1.790732563,14836.47874,11.72692121
202,Alaska,8/5/2020,3448,25,1017,2406,471.3312236,257279,,0.725058005,35169.26505,
203,Arizona,8/5/2020,182203,3932,24222,154049,2503.229621,985542,13559,2.158032524,13540.05108,7.441699643
204,Arkansas,8/5/2020,46293,508,38848,6937,1533.996244,534811,3118,1.097358132,17721.86,6.735359558
205,California,8/5/2020,530606,9808,,520798,1342.890781,8409400,,1.848452524,21283.03437,
206,Colorado,8/5/2020,48970,1851,5449,41670,850.3602179,555422,6516,3.779865224,9644.859566,13.30610578
207,Connecticut,8/5/2020,50225,4437,8613,37175,1408.722496,848109,10807,8.834245893,23787.95873,21.51717272
208,Delaware,8/5/2020,15296,587,8339,6370,1570.811819,190700,,3.837604603,19583.80059,
209,Florida,8/5/2020,502739,7627,,495112,2340.744744,3814884,28956,1.517089384,17762.0389,5.759648645
210,Georgia,8/5/2020,201713,3984,,197729,1899.830119,1695224,19788,1.975083411,15966.43555,9.809977542
211,Hawaii,8/5/2020,2763,27,1354,1382,195.1447588,132526,208,0.977198697,9360.026895,7.528049222
212,Idaho,8/5/2020,22708,217,7875,14616,1270.686852,191887,906,0.955610358,10737.55012,3.989783336
213,Illinois,8/5/2020,187752,7770,,179982,1481.649717,2897344,,4.138437939,22864.46439,
214,Indiana,8/5/2020,69975,3007,51709,15259,1039.40469,792225,9148,4.297249018,11767.66531,13.07324044
215,Iowa,8/5/2020,46836,900,34733,11203,1484.467856,496428,,1.92159877,15734.29433,
216,Kansas,8/5/2020,29256,372,1254,27630,1004.21719,308718,1821,1.271534044,10596.79801,6.224364233
217,Kentucky,8/5/2020,32741,752,8467,23522,732.8423544,620822,3903,2.296814392,13895.86928,11.92083321
218,Louisiana,8/5/2020,125943,4096,89083,32764,2709.154245,1469867,,3.252264913,31618.24336,
219,Maine,8/5/2020,3994,124,3456,414,297.125751,178245,390,3.104656985,13260.18515,9.76464697
220,Maryland,8/5/2020,92426,3536,5749,83141,1528.794114,982395,12922,3.825763313,16249.53686,13.98091446
221,Massachusetts,8/5/2020,119643,8659,99021,11963,1735.842552,1259594,11993,7.237364493,18274.84152,10.02398803
222,Michigan,8/5/2020,93893,6478,60022,27393,940.1656597,1980472,,6.899342869,19830.7836,
223,Minnesota,8/5/2020,57779,1670,51223,4886,1024.517203,887623,5373,2.890323474,15739.0234,9.299226363
224,Mississippi,8/5/2020,63444,1804,42391,19249,2131.748108,477822,4472,2.843452494,16055.04294,7.048735893
225,Missouri,8/5/2020,55614,1297,,54317,906.1450497,730574,,2.332146582,11903.58567,
226,Montana,8/5/2020,4429,65,2820,1544,414.3985,183124,248,1.46759991,17133.96047,5.599458117
227,Nebraska,8/5/2020,27489,340,19764,7385,1421.054917,287105,1644,1.23685838,14842.00851,5.980574048
228,Nevada,8/5/2020,52828,890,1234,50704,1715.107936,491117,,1.684712652,15944.54956,
229,New Hampshire,8/5/2020,6719,418,5915,386,494.1491243,165976,698,6.221163864,12206.71157,10.38845066
230,New Jersey,8/5/2020,183327,15842,32749,134736,2063.98422,2187018,21565,8.64138943,24622.50864,11.76313364
231,New Mexico,8/5/2020,21566,667,8685,12214,1028.505424,590825,2753,3.092831309,28177.07119,12.76546416
232,New York,8/5/2020,418225,32754,73410,312061,2149.863462,6226435,89995,7.831669556,32006.65935,21.51832148
233,North Carolina,8/5/2020,129733,2085,105093,22555,1236.956149,1873668,,1.607146987,17864.73106,
234,North Dakota,8/5/2020,7057,108,5837,1112,926.0401385,162014,394,1.530395352,21259.94998,5.58310897
235,Ohio,8/5/2020,96305,3596,72950,19759,823.8872112,1574613,11231,3.733970199,13470.78047,11.66190748
236,Oklahoma,8/5/2020,40564,583,33383,6598,1025.127553,664730,3445,1.437234987,16798.96062,8.492752194
237,Oregon,8/5/2020,19978,338,4037,15603,473.6663286,426802,1726,1.691861047,10119.21796,8.639503454
238,Pennsylvania,8/5/2020,120446,7254,87942,25250,940.8381776,1284725,,6.022615944,10035.35466,
239,Rhode Island,8/5/2020,19481,1012,1855,16614,1838.938756,213535,2248,5.194805195,20156.96255,11.53944869
240,South Carolina,8/5/2020,95472,1894,32859,60719,1854.288275,748622,5799,1.983827719,14539.98027,6.074032177
241,South Dakota,8/5/2020,9168,137,8080,951,1036.331513,116374,856,1.494328098,13154.67316,9.336823735
242,Tennessee,8/5/2020,114098,1144,75550,37404,1670.743782,1612045,5001,1.002646847,23605.27056,4.383074199
243,Texas,8/5/2020,476999,7706,315652,153641,1645.057793,3908235,,1.615517014,13478.58684,
244,Utah,8/5/2020,42328,327,30911,11090,1320.291782,550322,2519,0.772538273,17165.60229,5.951143451
245,Vermont,8/5/2020,1436,57,1254,125,230.1322619,98990,,3.969359331,15864.06171,
246,Virginia,8/5/2020,95049,2274,12522,80253,1113.570247,1179756,13826,2.39245021,13821.72543,14.54618144
247,Washington,8/5/2020,60084,1624,,58460,789.0327546,1009486,5779,2.702882631,13256.73256,9.618201185
248,West Virginia,8/5/2020,7162,124,5218,1820,399.6323962,302594,,1.731359955,16884.44084,
249,Wisconsin,8/5/2020,56940,970,46323,9647,977.9415275,1006094,4826,1.703547594,17279.61193,8.475588339
250,Wyoming,8/5/2020,2923,27,2323,573,505.0461418,55714,169,0.923708519,9626.459373,5.781731098
251,Alabama,8/6/2020,96592,1714,37923,56955,1969.984816,739784,11313,1.774474077,15087.82557,11.71215007
252,Alaska,8/6/2020,3483,25,1220,2238,476.1156183,261572,,0.717772036,35756.10523,
253,Arizona,8/6/2020,183656,4002,24531,155123,2523.191931,995864,14068,2.179073921,13681.86179,7.659972993
254,Arkansas,8/6/2020,47028,515,39555,6958,1558.351702,539836,3118,1.095092285,17888.37181,6.630092711
255,California,8/6/2020,541339,10021,,531318,1370.054527,8500463,,1.851150573,21513.50229,
256,Colorado,8/6/2020,49418,1852,5471,42095,858.1397029,565319,6536,3.747622324,9816.720197,13.22595006
257,Connecticut,8/6/2020,50245,4437,8721,37087,1409.28346,857098,10920,8.830729426,24040.08429,21.73350582
